TIMESTAMP X(mg) Y(mg) Z(mg)
599618628767123712 -1013 48 205
599618628776992896 -1012 46 209
599618628786862080 -1009 41 214
599618628796731264 -1000 35 225
599618628806600448 -992 32 238
599618628816469632 -994 35 248
599618628826338816 -995 37 252
599618628836208000 -1000 38 256
599618628846077184 -998 37 257
599618628855946368 -995 36 255
599618628865815552 -987 32 255
599618628875684736 -979 30 278
599618628885553920 -969 29 297
599618628895423104 -966 28 321
599618628905292288 -966 26 335
599618628915161472 -968 27 350
599618628925030656 -974 24 364
599618628934899840 -984 24 358
599618628944769024 -997 27 351
599618628954638208 -1000 29 344
599618628964507392 -1001 28 340
599618628974376576 -991 23 351
599618628984245760 -981 19 365
599618628994114944 -972 17 376
599618629003984128 -966 21 378
599618629013853312 -956 25 381
599618629023722496 -942 36 391
599618629033591680 -933 43 399
599618629043460864 -936 47 401
599618629053330048 -945 51 393
599618629063199132 -947 54 390
599618629073070848 -945 57 391
599618629082942592 -946 59 400
599618629092814336 -946 70 406
599618629102686080 -952 88 411
599618629112557696 -957 93 406
599618629122429440 -956 99 405
599618629132301184 -953 102 405
599618629142172928 -957 101 406
599618629152044672 -960 96 404
599618629161916416 -961 91 401
599618629171788160 -962 84 402
599618629181659776 -961 77 404
599618629191531520 -961 67 405
599618629201403264 -956 67 409
599618629211275008 -949 70 411
599618629221146752 -943 75 414
599618629231018496 -938 84 415
599618629240890112 -934 89 412
599618629250761856 -930 87 411
599618629260633600 -926 88 406
599618629270505344 -925 87 404
599618629280377088 -923 93 405
599618629290248832 -926 97 406
599618629300120576 -929 100 405
599618629309992192 -932 99 404
599618629319863936 -937 101 403
599618629329735680 -945 101 397
599618629339607424 -946 99 389
599618629349479168 -954 98 390
599618629359350912 -953 99 398
599618629369222656 -959 96 396
599618629379094272 -960 94 394
599618629388966016 -956 93 397
599618629398837760 -953 89 396
599618629408709504 -951 88 395
599618629418581236 -949 86 395
599618629428451328 -942 84 394
599618629438321408 -945 84 394
599618629448191360 -944 81 392
599618629458061440 -945 76 390
599618629467931392 -949 73 391
599618629477801472 -949 70 392
599618629487671552 -951 67 395
599618629497541504 -957 72 398
599618629507411584 -957 78 398
599618629517281536 -960 82 403
599618629527151616 -962 84 406
599618629537021696 -961 88 410
599618629546891648 -962 91 411
599618629556761728 -961 94 412
599618629566631680 -962 95 413
599618629576501760 -962 95 408
599618629586371840 -961 96 398
599618629596241792 -964 95 395
599618629606111872 -963 94 389
599618629615981824 -963 91 387
599618629625851904 -961 88 385
599618629635721984 -957 86 385
599618629645591936 -954 82 387
599618629655462016 -946 78 389
599618629665331968 -952 70 390
599618629675202048 -953 67 391
599618629685072128 -954 60 387
599618629694942080 -962 69 386
599618629704812160 -966 73 389
599618629714682240 -969 76 389
599618629724552192 -969 80 382
599618629734422272 -967 84 377
599618629744292224 -963 81 384
599618629754162304 -959 80 391
599618629764032384 -960 81 395
599618629773902290 -966 86 389
599618629783774848 -969 85 383
599618629793647360 -966 88 380
599618629803520000 -964 86 384
599618629813392512 -959 90 390
599618629823265152 -960 95 391
599618629833137664 -959 96 389
599618629843010304 -958 96 388
599618629852882816 -956 91 386
599618629862755456 -956 89 388
599618629872627968 -961 85 386
599618629882500608 -964 85 388
599618629892373120 -966 83 388
599618629902245760 -966 82 389
599618629912118272 -966 81 389
599618629921990912 -965 81 386
599618629931863424 -963 84 387
599618629941736064 -963 84 387
599618629951608576 -964 83 387
599618629961481216 -960 83 385
599618629971353728 -960 81 388
599618629981226368 -960 80 387
599618629991098880 -958 79 391
599618630000971520 -957 84 387
599618630010844032 -959 82 390
599618630020716672 -959 84 388
599618630030589184 -962 86 385
599618630040461824 -961 86 391
599618630050334336 -963 83 391
599618630060206976 -967 80 388
599618630070079488 -967 81 385
599618630079952000 -964 79 389
599618630089824640 -964 82 390
599618630099697152 -960 85 391
599618630109569792 -964 80 391
